Why are complex-valued signals preferred in communication system analysis if physical signals are real?,They simplify mathematical analysis by providing a complex representation ($x(t) \rightarrow X(\omega)$).
Under what condition is the sampling of continuous signals considered lossless?,The signal must be bandlimited.
What type of noise is introduced into a communication system during the quantization process?,Random additive noise.
Why is channel noise generally assumed to follow a Gaussian distribution?,It is a consequence of the Central Limit Theorem.
"If a signal $y(t)$ is the result of convolving two signals with bandwidths $B_1$ and $B_2$, what is the upper bound of its bandwidth?","$y(t) \le \min(B_1, B_2)$."
Formula: Energy Spectral Density (ESD),$|X(f)|^2$
What is the primary goal of employing multiplexing techniques like TDMA or FDMA?,To ensure that transmitted signals are orthogonal to prevent interference.
Term: CDMA,"Definition: Code Division Multiplexing, which utilizes phase differences (e.g., $\sin$ and $\cos$) for separation."
"According to the Uncertainty Principle, why can we never achieve perfectly band-limited signals?",A signal cannot be limited in both the time domain and the frequency domain simultaneously.
How is 90% bandwidth defined in the frequency domain?,"The range $[-a, a]$ that contains 90% of the total energy spectral density."
What characterizes the '3dB bandwidth' of a signal or system?,The frequency range where the power drops to half of its peak value.
Formula: Decibel (dB) power ratio,$10 \log_{10}(\frac{P_1}{P_2})$
What is the purpose of the Paley-Wiener Criterion?,To check if a specific filter transfer function is physically realizable.
Formula: Standard Communication System Model,$r(t) = h(t) * m(t) + n(t)$ where $r(t)$ is the receiver signal and $n(t)$ is AWGN.
"In real-life hardware, what specific type of phase response is achievable for generated filters?",Linear phase.
Formula: Simple Wired Channel Model,$h(t) = a_0 \delta(t - t_0)$ representing attenuation and delay.
What phenomenon occurs in wired communication due to signal reflections from objects?,Inter-Symbol Interference (ISI).
Why are GHz frequencies specifically used for modern wireless transmission?,"To satisfy antenna length constraints, which decrease as frequency increases."
"In modulation, the baseband signal $M(\omega)$ is converted to a higher frequency $f_c$ through a process called _____.",Up-conversion
How is a real signal $x(t)$ represented using its complex baseband components $m_{Re}(t)$ and $m_{Im}(t)$?,$x(t) = m_{Re}(t) \cos(2\pi f_c t) - m_{Im}(t) \sin(2\pi f_c t)$.
Term: Passband Signal,Definition: A signal centered around a high carrier frequency that does not contain a DC component.
"In an up-conversion circuit, what component generates the high-frequency carrier wave?",Local Oscillator (LO).
What happens to the recovered signal if the receiver's Local Oscillator is not synchronized with the transmitter?,"A phase difference occurs, leading to a loss of orthogonality between components."
